symbol,vol_regime,shock_side,shock_level,shock_quantile,threshold_pct,horizon_bars,horizon_hours,count,vol20_mean_pct,current_return_mean_pct,future_return_mean_pct,future_return_median_pct,future_return_std_pct,future_return_t_stat,mr_return_mean_pct,mr_return_median_pct,mr_return_std_pct,mr_return_t_stat,mr_win_rate_pct
BTCUSDT,Q4_higher,lower,5pct,0.0500000000,-1.8987744291,6,24,165,1.2745533586,-2.7347074803,-0.2996939260,0.1885263346,3.8556815657,-0.9984326031,-0.2996939260,0.1885263346,3.8556815657,-0.9984326031,52.7272727273
BTCUSDT,Q4_higher,lower,5pct,0.0500000000,-1.8987744291,12,48,165,1.2745533586,-2.7347074803,0.3931915397,0.5636372144,4.7801003809,1.0565963835,0.3931915397,0.5636372144,4.7801003809,1.0565963835,55.7575757576
BTCUSDT,Q4_higher,lower,5pct,0.0500000000,-1.8987744291,18,72,165,1.2745533586,-2.7347074803,0.4035950189,0.5935448638,6.0973644928,0.8502479868,0.4035950189,0.5935448638,6.0973644928,0.8502479868,54.5454545455
BTCUSDT,Q5_high,lower,5pct,0.0500000000,-1.8987744291,1,4,324,2.1914052981,-3.5161093507,0.3140715584,0.3481741457,2.4276529614,2.3287051901,0.3140715584,0.3481741457,2.4276529614,2.3287051901,58.0246913580
BTCUSDT,Q5_high,lower,5pct,0.0500000000,-1.8987744291,2,8,324,2.1914052981,-3.5161093507,0.2298936656,0.4945787307,3.2937461602,1.2563463546,0.2298936656,0.4945787307,3.2937461602,1.2563463546,57.0987654321
BTCUSDT,Q5_high,lower,5pct,0.0500000000,-1.8987744291,3,12,324,2.1914052981,-3.5161093507,0.0743715722,0.3121432664,3.7908670905,0.3531351187,0.0743715722,0.3121432664,3.7908670905,0.3531351187,55.2469135802
BTCUSDT,Q5_high,lower,5pct,0.0500000000,-1.8987744291,6,24,324,2.1914052981,-3.5161093507,0.9345901515,1.1696139701,5.0759511622,3.3141813603,0.9345901515,1.1696139701,5.0759511622,3.3141813603,59.8765432099
BTCUSDT,Q5_high,lower,5pct,0.0500000000,-1.8987744291,12,48,324,2.1914052981,-3.5161093507,1.0494961251,0.9602075635,6.3311900465,2.9837882157,1.0494961251,0.9602075635,6.3311900465,2.9837882157,57.7160493827
BTCUSDT,Q5_high,lower,5pct,0.0500000000,-1.8987744291,18,72,324,2.1914052981,-3.5161093507,0.9322791370,1.1789820958,7.0824143404,2.3693932124,0.9322791370,1.1789820958,7.0824143404,2.3693932124,60.4938271605
BTCUSDT,Q1_low,upper,2_5pct,0.0250000000,2.5953806458,1,4,0,,,,,,,,,,,
BTCUSDT,Q1_low,upper,2_5pct,0.0250000000,2.5953806458,2,8,0,,,,,,,,,,,
BTCUSDT,Q1_low,upper,2_5pct,0.0250000000,2.5953806458,3,12,0,,,,,,,,,,,
BTCUSDT,Q1_low,upper,2_5pct,0.0250000000,2.5953806458,6,24,0,,,,,,,,,,,
BTCUSDT,Q1_low,upper,2_5pct,0.0250000000,2.5953806458,12,48,0,,,,,,,,,,,
BTCUSDT,Q1_low,upper,2_5pct,0.0250000000,2.5953806458,18,72,0,,,,,,,,,,,
BTCUSDT,Q2_lower,upper,2_5pct,0.0250000000,2.5953806458,1,4,9,0.7860150790,2.9535583519,0.2833753640,-0.0485954228,1.3500192826,0.6297140366,-0.2833753640,0.0485954228,1.3500192826,-0.6297140366,55.5555555556
BTCUSDT,Q2_lower,upper,2_5pct,0.0250000000,2.5953806458,2,8,9,0.7860150790,2.9535583519,0.9351802185,1.0236339276,1.5082745292,1.8600994721,-0.9351802185,-1.0236339276,1.5082745292,-1.8600994721,33.3333333333
BTCUSDT,Q2_lower,upper,2_5pct,0.0250000000,2.5953806458,3,12,9,0.7860150790,2.9535583519,0.7488350801,0.7316270309,2.4313136000,0.9239882672,-0.7488350801,-0.7316270309,2.4313136000,-0.9239882672,44.4444444444
BTCUSDT,Q2_lower,upper,2_5pct,0.0250000000,2.5953806458,6,24,9,0.7860150790,2.9535583519,1.4549359076,1.0654898831,4.2263396646,1.0327631164,-1.4549359076,-1.0654898831,4.2263396646,-1.0327631164,44.4444444444
BTCUSDT,Q2_lower,upper,2_5pct,0.0250000000,2.5953806458,12,48,9,0.7860150790,2.9535583519,2.8723231415,4.0663405609,6.6752582809,1.2908817999,-2.8723231415,-4.0663405609,6.6752582809,-1.2908817999,33.3333333333
BTCUSDT,Q2_lower,upper,2_5pct,0.0250000000,2.5953806458,18,72,9,0.7860150790,2.9535583519,3.5307901658,4.0181906536,7.8331433805,1.3522503014,-3.5307901658,-4.0181906536,7.8331433805,-1.3522503014,44.4444444444
BTCUSDT,Q3_mid,upper,2_5pct,0.0250000000,2.5953806458,1,4,30,1.0009598619,3.1037811619,-0.1416470068,0.1107087112,1.6799448004,-0.4618202978,0.1416470068,-0.1107087112,1.6799448004,0.4618202978,46.6666666667
BTCUSDT,Q3_mid,upper,2_5pct,0.0250000000,2.5953806458,2,8,30,1.0009598619,3.1037811619,-0.2424845282,-0.0952678026,1.8959767884,-0.7005056536,0.2424845282,0.0952678026,1.8959767884,0.7005056536,53.3333333333
BTCUSDT,Q3_mid,upper,2_5pct,0.0250000000,2.5953806458,3,12,30,1.0009598619,3.1037811619,-0.4042951123,-0.2075742067,2.6956819950,-0.8214676408,0.4042951123,0.2075742067,2.6956819950,0.8214676408,56.6666666667
BTCUSDT,Q3_mid,upper,2_5pct,0.0250000000,2.5953806458,6,24,30,1.0009598619,3.1037811619,-0.3551830019,-0.1267942693,3.1785194214,-0.6120514503,0.3551830019,0.1267942693,3.1785194214,0.6120514503,53.3333333333
BTCUSDT,Q3_mid,upper,2_5pct,0.0250000000,2.5953806458,12,48,30,1.0009598619,3.1037811619,-0.5805783739,-0.6638263037,5.4789003172,-0.5804009078,0.5805783739,0.6638263037,5.4789003172,0.5804009078,56.6666666667
BTCUSDT,Q3_mid,upper,2_5pct,0.0250000000,2.5953806458,18,72,30,1.0009598619,3.1037811619,-1.0241323312,-1.3772697117,5.1706457261,-1.0848555662,1.0241323312,1.3772697117,5.1706457261,1.0848555662,60.0000000000
BTCUSDT,Q4_higher,upper,2_5pct,0.0250000000,2.5953806458,1,4,71,1.2760453994,3.4720453749,0.0732249293,-0.1334565483,1.5746009762,0.3918479861,-0.0732249293,0.1334565483,1.5746009762,-0.3918479861,54.9295774648
BTCUSDT,Q4_higher,upper,2_5pct,0.0250000000,2.5953806458,2,8,71,1.2760453994,3.4720453749,0.2382464498,-0.0632410251,2.0475138120,0.9804574980,-0.2382464498,0.0632410251,2.0475138120,-0.9804574980,50.7042253521
BTCUSDT,Q4_higher,upper,2_5pct,0.0250000000,2.5953806458,3,12,71,1.2760453994,3.4720453749,0.1036879932,-0.1158729193,2.3333364790,0.3744383068,-0.1036879932,0.1158729193,2.3333364790,-0.3744383068,54.9295774648
BTCUSDT,Q4_higher,upper,2_5pct,0.0250000000,2.5953806458,6,24,71,1.2760453994,3.4720453749,-0.0262423046,0.0321020727,3.3417633253,-0.0661691350,0.0262423046,-0.0321020727,3.3417633253,0.0661691350,49.2957746479
BTCUSDT,Q4_higher,upper,2_5pct,0.0250000000,2.5953806458,12,48,71,1.2760453994,3.4720453749,0.4443334008,0.2773815800,4.4612474967,0.8392315799,-0.4443334008,-0.2773815800,4.4612474967,-0.8392315799,47.8873239437
BTCUSDT,Q4_higher,upper,2_5pct,0.0250000000,2.5953806458,18,72,71,1.2760453994,3.4720453749,0.8831747763,0.7304265654,4.9465971064,1.5044206716,-0.8831747763,-0.7304265654,4.9465971064,-1.5044206716,45.0704225352
BTCUSDT,Q5_high,upper,2_5pct,0.0250000000,2.5953806458,1,4,208,2.3211004646,4.0613768315,0.0072884365,0.0325475501,2.0019587407,0.0525062397,-0.0072884365,-0.0325475501,2.0019587407,-0.0525062397,48.5576923077
BTCUSDT,Q5_high,upper,2_5pct,0.0250000000,2.5953806458,2,8,208,2.3211004646,4.0613768315,0.1387374812,0.2736047515,2.8214261686,0.7091804957,-0.1387374812,-0.2736047515,2.8214261686,-0.7091804957,44.2307692308
BTCUSDT,Q5_high,upper,2_5pct,0.0250000000,2.5953806458,3,12,208,2.3211004646,4.0613768315,0.4252929108,0.3501179706,3.2721820640,1.8744866477,-0.4252929108,-0.3501179706,3.2721820640,-1.8744866477,44.2307692308
