fold,strategy,params,score,train_start,train_end,val_end,test_end,oos_total_return,oos_annual_return,oos_sharpe,oos_sortino,oos_calmar,oos_max_drawdown,oos_exposure,oos_final_equity,oos_trades,oos_win_rate,oos_profit_factor,oos_avg_win,oos_avg_loss,oos_avg_hold_bars,oos_avg_hold_hours,oos_long_trades,oos_short_trades
29,breakout,"{""lookback"": 160, ""vol_min"": 0.8, ""vol_max"": 3.5}",-0.4173743850554094,2017-08-26 20:00:00,2019-08-26 20:00:00,2020-02-26 20:00:00,2020-05-26 20:00:00,-0.02059903304811772,-0.0787747965118788,-0.5787775629266498,-0.6825390410179571,-0.9252159294831979,-0.08514206684258063,1.0,0.9794009669518823,2,0.5,0.004831934743178044,0.00010000640661034232,-0.020696969625166428,198.5,794.0,1,1
30,breakout,"{""lookback"": 160, ""vol_min"": 0.8, ""vol_max"": 3.5}",-0.6247985784006128,2017-11-26 20:00:00,2019-11-26 20:00:00,2020-05-26 20:00:00,2020-08-26 20:00:00,-0.02663109397700192,-0.09812813760722183,-1.621776860956613,-1.918795986323813,-2.087058659142752,-0.047017431530902654,1.0,0.9733689060229981,3,0.3333333333333333,0.11964567765073739,0.003632768200517944,-0.015181359961546237,136.33333333333334,545.3333333333334,1,2
31,breakout,"{""lookback"": 160, ""vol_min"": 0.8, ""vol_max"": 3.5}",-1.3739058587939488,2018-02-26 20:00:00,2020-02-26 20:00:00,2020-08-26 20:00:00,2020-11-26 20:00:00,0.01564774537920255,0.06121131264408719,0.9875108219300677,1.1637576448123153,2.676452574392058,-0.022870314695559668,1.0,1.0156477453792025,1,1.0,inf,0.01564774537920255,,409.0,1636.0,0,1
32,breakout,"{""lookback"": 160, ""vol_min"": 0.8, ""vol_max"": 3.5}",-0.9447398820264571,2018-05-26 20:00:00,2020-05-26 20:00:00,2020-11-26 20:00:00,2021-02-26 20:00:00,0.017547810744096726,0.07061255167149638,1.419560609639298,1.9113979847816542,3.9583529972094778,-0.017838871803822487,1.0,1.0175478107440967,2,0.5,7.311589153236907,0.020393959932468952,-0.0027892650291271304,199.5,798.0,1,1
33,breakout,"{""lookback"": 160, ""vol_min"": 0.8, ""vol_max"": 3.5}",-0.14007471033733643,2018-08-26 20:00:00,2020-08-26 20:00:00,2021-02-26 20:00:00,2021-05-26 20:00:00,0.005922568304892906,0.023917029967306158,0.47344355953870404,0.6243245650739502,0.6415731636299389,-0.03727872567485002,1.0,1.005922568304893,2,0.5,1.6815633704178938,0.014939724968183521,-0.008884425785553818,195.5,782.0,1,1
34,breakout,"{""lookback"": 160, ""vol_min"": 0.8, ""vol_max"": 3.5}",-0.2208341533170188,2018-11-26 20:00:00,2020-11-26 20:00:00,2021-05-26 20:00:00,2021-08-26 20:00:00,-0.01482474798985478,-0.05554777503948294,-1.070227361315074,-1.378775638265319,-1.8205154018636913,-0.030512114856385053,1.0,0.9851752520101452,3,0.0,0.0,,-0.004965452597786764,136.33333333333334,545.3333333333334,1,2
35,breakout,"{""lookback"": 160, ""vol_min"": 0.8, ""vol_max"": 3.5}",-0.9342354057124932,2019-02-26 20:00:00,2021-02-26 20:00:00,2021-08-26 20:00:00,2021-11-26 20:00:00,0.02008017063505041,0.07904201877588712,1.3882649101007751,1.9882450942098313,3.978494219693449,-0.019867320250116505,1.0,1.0200801706350504,2,0.5,5.7924867070147865,0.024394267298440075,-0.004211363535612134,204.5,818.0,1,1
36,breakout,"{""lookback"": 160, ""vol_min"": 0, ""vol_max"": 3.5}",-0.4772404916932309,2019-05-26 20:00:00,2021-05-26 20:00:00,2021-11-26 20:00:00,2022-02-26 20:00:00,0.017415396516657244,0.06916972784147157,1.171786442546659,1.5786750887862422,3.1699108332366714,-0.0218207172000624,1.0,1.0174153965166572,1,1.0,inf,0.017415396516657244,,404.0,1616.0,1,0
37,breakout,"{""lookback"": 160, ""vol_min"": 0, ""vol_max"": 3.5}",0.1039402531168294,2019-08-26 20:00:00,2021-08-26 20:00:00,2022-02-26 20:00:00,2022-05-26 20:00:00,0.09419503948895791,0.4272603745677448,3.8390002514521098,4.927785485936635,10.212249108884244,-0.041838029019096834,1.0,1.094195039488958,2,0.5,22.494380867398146,0.09903363901819096,-0.004402594568038265,198.0,792.0,1,1
38,breakout,"{""lookback"": 160, ""vol_min"": 0, ""vol_max"": 3.5}",0.660941065311149,2019-11-26 20:00:00,2021-11-26 20:00:00,2022-05-26 20:00:00,2022-08-26 20:00:00,-0.054235925313532496,-0.19214165788721305,-1.838310718778786,-2.3893358951540025,-2.575819084573359,-0.07459439175598703,1.0,0.9457640746864675,3,0.3333333333333333,0.1823930492745639,0.012169053880102476,-0.03335942331273789,136.33333333333334,545.3333333333334,1,2
39,breakout,"{""lookback"": 160, ""vol_min"": 0, ""vol_max"": 3.5}",0.3447141403154394,2020-02-26 20:00:00,2022-02-26 20:00:00,2022-08-26 20:00:00,2022-11-26 20:00:00,0.03564783503857161,0.14532322376336415,0.9448241607825268,0.8728767746577425,2.071472068061519,-0.07015456592632574,1.0,1.0356478350385716,3,0.6666666666666666,7.79404010689066,0.020343648604762454,-0.005220308934971163,134.66666666666666,538.6666666666666,1,2
40,breakout,"{""lookback"": 80, ""vol_min"": 0, ""vol_max"": 3.5}",0.5869283445195411,2020-05-26 20:00:00,2022-05-26 20:00:00,2022-11-26 20:00:00,2023-02-26 20:00:00,0.0006394132082596649,0.0024853709766494703,0.09203637017790939,0.11428873548234608,0.02354451791318332,-0.10556049547558721,1.0,1.0006394132082597,4,0.5,1.0437265450235285,0.0322548299981662,-0.03090352559485693,100.75,403.0,2,2
41,breakout,"{""lookback"": 160, ""vol_min"": 0, ""vol_max"": 3.5}",0.971384370275046,2020-08-26 20:00:00,2022-08-26 20:00:00,2023-02-26 20:00:00,2023-05-26 20:00:00,-0.05590098253812148,-0.20063995794946743,-1.9320555093919363,-2.3179913937043803,-1.8187370896559225,-0.110318285743777,1.0,0.9440990174618785,3,0.3333333333333333,0.3938179362225456,0.035598735600397946,-0.04519694549955844,134.0,536.0,2,1
42,breakout,"{""lookback"": 40, ""vol_min"": 0.8, ""vol_max"": 3.5}",0.676669480459855,2020-11-26 20:00:00,2022-11-26 20:00:00,2023-05-26 20:00:00,2023-08-26 20:00:00,0.011228692433107756,0.04420401840424382,0.5199295600048984,0.6563241639072844,0.7976668281243845,-0.05541664369845256,1.0,1.0112286924331078,6,0.5,1.2750565295529037,0.018620351266808683,-0.014603549595826845,67.33333333333333,269.3333333333333,3,3
43,breakout,"{""lookback"": 40, ""vol_min"": 0.8, ""vol_max"": 3.5}",0.7510348690486496,2021-02-26 20:00:00,2023-02-26 20:00:00,2023-08-26 20:00:00,2023-11-26 20:00:00,-0.02796907770276824,-0.10431121139095312,-1.6073229686992954,-1.8670118975675734,-2.513608342525652,-0.04149859372528264,1.0,0.9720309222972318,5,0.4,0.25789876472452955,0.004877318521043228,-0.012607837358851145,80.6,322.4,2,3
44,breakout,"{""lookback"": 80, ""vol_min"": 0, ""vol_max"": 3.5}",0.9065160838400443,2021-05-26 20:00:00,2023-05-26 20:00:00,2023-11-26 20:00:00,2024-02-26 20:00:00,0.0685727429779972,0.29627161192324136,2.7714659890475604,4.296760392508232,7.544587387849783,-0.0392694254427185,1.0,1.0685727429779972,2,1.0,inf,0.033732083408004154,,200.0,800.0,1,1
45,breakout,"{""lookback"": 80, ""vol_min"": 0, ""vol_max"": 3.5}",1.4825667122704955,2021-08-26 20:00:00,2023-08-26 20:00:00,2024-02-26 20:00:00,2024-05-26 20:00:00,0.0114896906770654,0.04606435359866601,0.5913298477277174,0.554963811838768,1.1223591724568833,-0.04104243519285322,1.0,1.0114896906770654,3,0.3333333333333333,1.4458074466463857,0.040241545822224944,-0.013916633890483476,132.33333333333334,529.3333333333334,2,1
46,breakout,"{""lookback"": 80, ""vol_min"": 0, ""vol_max"": 3.5}",1.4439581038464613,2021-11-26 20:00:00,2023-11-26 20:00:00,2024-05-26 20:00:00,2024-08-26 20:00:00,0.10560176191234438,0.46833924385844905,3.1659077141445495,3.679374472650872,9.886122396496203,-0.04737340132714074,1.0,1.1056017619123444,2,1.0,inf,0.05227427812936847,,204.5,818.0,1,1
47,breakout,"{""lookback"": 80, ""vol_min"": 0, ""vol_max"": 3.5}",1.7765559078465059,2022-02-26 20:00:00,2024-02-26 20:00:00,2024-08-26 20:00:00,2024-11-26 20:00:00,0.055342412213085224,0.22888887403338587,1.9864624661434849,2.9917984527351447,4.419994369606811,-0.05178487909561458,1.0,1.0553424122130852,2,0.5,26.798165195408103,0.05761629678681901,-0.002150009016165466,204.5,818.0,1,1
48,breakout,"{""lookback"": 80, ""vol_min"": 0, ""vol_max"": 3.5}",1.77414062466822,2022-05-26 20:00:00,2024-05-26 20:00:00,2024-11-26 20:00:00,2025-02-26 20:00:00,0.037315798566240455,0.15370962627787588,1.6024758411769155,2.7943961594726026,4.574908914383763,-0.033598401444584924,1.0,1.0373157985662405,4,0.5,2.8736616911510318,0.02900428019373369,-0.010093143630319323,100.25,401.0,2,2
49,breakout,"{""lookback"": 80, ""vol_min"": 0, ""vol_max"": 3.5}",1.544280722572391,2022-08-26 20:00:00,2024-08-26 20:00:00,2025-02-26 20:00:00,2025-05-26 20:00:00,-0.021561178964009886,-0.08354637775912399,-0.6421172343413123,-0.8567303825843564,-1.8336697747310942,-0.04556239019175412,1.0,0.9784388210359901,4,0.25,0.5132673946976007,0.02237002862226012,-0.014527858742738283,97.75,391.0,2,2
50,breakout,"{""lookback"": 40, ""vol_min"": 0.8, ""vol_max"": 3.5}",1.179175888789809,2022-11-26 20:00:00,2024-11-26 20:00:00,2025-05-26 20:00:00,2025-08-26 20:00:00,-0.10706838967253085,-0.3516485858766897,-4.490807853515532,-5.269262755245786,-3.118894081651276,-0.1127478448035375,1.0,0.8929316103274691,10,0.1,0.0501940389081881,0.005938194429965016,-0.01314497489062574,40.9,163.6,5,5
51,breakout,"{""lookback"": 160, ""vol_min"": 0, ""vol_max"": 3.5}",-0.43471384105738853,2023-02-26 20:00:00,2025-02-26 20:00:00,2025-08-26 20:00:00,2025-11-26 20:00:00,0.06115750442715817,0.2550012784315123,3.0642273057995966,4.866953444863259,11.596194500366375,-0.021990082903788455,1.0,1.0611575044271582,1,1.0,inf,0.06115750442715817,,409.0,1636.0,1,0
52,breakout,"{""lookback"": 160, ""vol_min"": 0, ""vol_max"": 3.5}",0.6149980804920604,2023-05-26 20:00:00,2025-05-26 20:00:00,2025-11-26 20:00:00,2026-02-26 20:00:00,-0.015516602809414026,-0.059206917268513015,-0.706941767457688,-0.9141341087508033,-1.4621447624721349,-0.0404931979296006,1.0,0.984483397190586,2,0.0,0.0,,-0.007788453158410091,200.5,802.0,1,1
53,breakout,"{""lookback"": 160, ""vol_min"": 0, ""vol_max"": 3.5}",0.8781271208783978,2023-08-26 20:00:00,2025-08-26 20:00:00,2026-02-26 20:00:00,2026-05-26 20:00:00,-0.03733862802807186,-0.14127933352667343,-1.8895153419191288,-1.9087366865402564,-3.2195825511095024,-0.04388125829480194,1.0,0.9626613719719281,3,0.0,0.0,,-0.012594293866889372,130.33333333333334,521.3333333333334,1,2
