timeframe,period,entry_time,exit_time,direction,entry_price,exit_price,gross_pnl_pips,cost_pips,net_pnl_pips,holding_bars,short_window,long_window,entry_delay_bars,exit_reason
60m,full_2023_2025,2023-06-12 21:00:00,2023-06-12 22:00:00,long,139.589,139.578,-1.099999999999568,1.0,-2.099999999999568,1,20,80,0,signal_flip
60m,full_2023_2025,2023-06-12 22:00:00,2023-06-12 23:00:00,short,139.578,139.553,2.5000000000005684,1.0,1.5000000000005684,1,20,80,0,signal_flip
60m,full_2023_2025,2023-06-12 23:00:00,2023-06-21 03:00:00,long,139.553,141.618,206.49999999999977,1.0,205.49999999999977,148,20,80,0,signal_flip
60m,full_2023_2025,2023-06-21 03:00:00,2023-06-21 14:00:00,short,141.618,142.25,-63.2000000000005,1.0,-64.2000000000005,11,20,80,0,signal_flip
60m,full_2023_2025,2023-06-21 14:00:00,2023-07-04 09:00:00,long,142.25,144.384,213.3999999999986,1.0,212.3999999999986,211,20,80,0,signal_flip
60m,full_2023_2025,2023-07-04 09:00:00,2023-07-17 05:00:00,short,144.384,138.624,575.9999999999991,1.0,574.9999999999991,212,20,80,0,signal_flip
60m,full_2023_2025,2023-07-17 05:00:00,2023-07-26 02:00:00,long,138.624,141.157,253.30000000000155,1.0,252.30000000000155,165,20,80,0,signal_flip
60m,full_2023_2025,2023-07-26 02:00:00,2023-07-31 01:00:00,short,141.157,140.896,26.10000000000241,1.0,25.10000000000241,71,20,80,0,signal_flip
60m,full_2023_2025,2023-07-31 01:00:00,2023-08-03 22:00:00,long,140.896,142.52,162.40000000000236,1.0,161.40000000000236,93,20,80,0,signal_flip
60m,full_2023_2025,2023-08-03 22:00:00,2023-08-08 04:00:00,short,142.52,143.333,-81.29999999999882,1.0,-82.29999999999882,54,20,80,0,signal_flip
60m,full_2023_2025,2023-08-08 04:00:00,2023-08-18 07:00:00,long,143.333,145.372,203.90000000000157,1.0,202.90000000000157,195,20,80,0,signal_flip
60m,full_2023_2025,2023-08-18 07:00:00,2023-08-21 21:00:00,short,145.372,146.197,-82.49999999999886,1.0,-83.49999999999886,38,20,80,0,signal_flip
60m,full_2023_2025,2023-08-21 21:00:00,2023-08-23 11:00:00,long,146.197,145.447,-75.0,1.0,-76.0,38,20,80,0,signal_flip
60m,full_2023_2025,2023-08-23 11:00:00,2023-08-25 00:00:00,short,145.447,146.051,-60.3999999999985,1.0,-61.3999999999985,37,20,80,0,signal_flip
60m,full_2023_2025,2023-08-25 00:00:00,2023-08-30 01:00:00,long,146.051,145.907,-14.399999999997704,1.0,-15.399999999997704,73,20,80,0,signal_flip
60m,full_2023_2025,2023-08-30 01:00:00,2023-09-04 05:00:00,short,145.907,146.157,-25.0,1.0,-26.0,76,20,80,0,signal_flip
60m,full_2023_2025,2023-09-04 05:00:00,2023-09-08 01:00:00,long,146.157,146.916,75.89999999999861,1.0,74.89999999999861,92,20,80,0,signal_flip
60m,full_2023_2025,2023-09-08 01:00:00,2023-09-12 23:00:00,short,146.916,147.058,-14.19999999999959,1.0,-15.19999999999959,70,20,80,0,signal_flip
60m,full_2023_2025,2023-09-12 23:00:00,2023-09-22 00:00:00,long,147.058,147.646,58.799999999999386,1.0,57.799999999999386,169,20,80,0,signal_flip
60m,full_2023_2025,2023-09-22 00:00:00,2023-09-22 13:00:00,short,147.646,148.251,-60.50000000000182,1.0,-61.50000000000182,13,20,80,0,signal_flip
60m,full_2023_2025,2023-09-22 13:00:00,2023-10-01 21:00:00,long,148.251,149.606,135.49999999999898,1.0,134.49999999999898,128,20,80,0,signal_flip
60m,full_2023_2025,2023-10-01 21:00:00,2023-10-02 01:00:00,short,149.606,149.683,-7.699999999999818,1.0,-8.699999999999818,4,20,80,0,signal_flip
60m,full_2023_2025,2023-10-02 01:00:00,2023-10-03 23:00:00,long,149.683,149.11,-57.29999999999791,1.0,-58.29999999999791,46,20,80,0,signal_flip
60m,full_2023_2025,2023-10-03 23:00:00,2023-10-06 19:00:00,short,149.11,149.338,-22.799999999998022,1.0,-23.799999999998022,68,20,80,0,signal_flip
60m,full_2023_2025,2023-10-06 19:00:00,2023-10-09 23:00:00,long,149.338,148.415,-92.30000000000018,1.0,-93.30000000000018,28,20,80,0,signal_flip
60m,full_2023_2025,2023-10-09 23:00:00,2023-10-11 21:00:00,short,148.415,149.152,-73.69999999999948,1.0,-74.69999999999948,46,20,80,0,signal_flip
60m,full_2023_2025,2023-10-11 21:00:00,2023-10-23 23:00:00,long,149.152,149.688,53.600000000000136,1.0,52.600000000000136,194,20,80,0,signal_flip
60m,full_2023_2025,2023-10-23 23:00:00,2023-10-25 04:00:00,short,149.688,149.846,-15.800000000001546,1.0,-16.800000000001546,29,20,80,0,signal_flip
60m,full_2023_2025,2023-10-25 04:00:00,2023-10-27 18:00:00,long,149.846,149.52,-32.59999999999934,1.0,-33.59999999999934,62,20,80,0,signal_flip
60m,full_2023_2025,2023-10-27 18:00:00,2023-10-31 15:00:00,short,149.52,151.258,-173.79999999999995,1.0,-174.79999999999995,45,20,80,0,signal_flip
60m,full_2023_2025,2023-10-31 15:00:00,2023-11-02 15:00:00,long,151.258,150.288,-96.99999999999989,1.0,-97.99999999999989,48,20,80,0,signal_flip
60m,full_2023_2025,2023-11-02 15:00:00,2023-11-07 09:00:00,short,150.288,150.331,-4.2999999999977945,1.0,-5.2999999999977945,65,20,80,0,signal_flip
60m,full_2023_2025,2023-11-07 09:00:00,2023-11-14 19:00:00,long,150.331,150.534,20.300000000000296,1.0,19.300000000000296,130,20,80,0,signal_flip
60m,full_2023_2025,2023-11-14 19:00:00,2023-11-16 10:00:00,short,150.534,151.275,-74.10000000000139,1.0,-75.10000000000139,39,20,80,0,signal_flip
60m,full_2023_2025,2023-11-16 10:00:00,2023-11-16 16:00:00,long,151.275,150.407,-86.7999999999995,1.0,-87.7999999999995,6,20,80,0,signal_flip
60m,full_2023_2025,2023-11-16 16:00:00,2023-11-22 15:00:00,short,150.407,149.352,105.50000000000068,1.0,104.50000000000068,95,20,80,0,signal_flip
60m,full_2023_2025,2023-11-22 15:00:00,2023-11-27 11:00:00,long,149.352,148.989,-36.299999999999955,1.0,-37.299999999999955,68,20,80,0,signal_flip
60m,full_2023_2025,2023-11-27 11:00:00,2023-12-01 01:00:00,short,148.989,147.765,122.4000000000018,1.0,121.4000000000018,85,20,80,0,signal_flip
60m,full_2023_2025,2023-12-01 01:00:00,2023-12-04 01:00:00,long,147.765,146.5,-126.49999999999864,1.0,-127.49999999999864,24,20,80,0,signal_flip
60m,full_2023_2025,2023-12-04 01:00:00,2023-12-06 10:00:00,short,146.5,147.318,-81.8000000000012,1.0,-82.8000000000012,57,20,80,0,signal_flip
60m,full_2023_2025,2023-12-06 10:00:00,2023-12-07 08:00:00,long,147.318,145.713,-160.50000000000182,1.0,-161.50000000000182,22,20,80,0,signal_flip
60m,full_2023_2025,2023-12-07 08:00:00,2023-12-11 13:00:00,short,145.713,146.36,-64.70000000000198,1.0,-65.70000000000198,53,20,80,0,signal_flip
60m,full_2023_2025,2023-12-11 13:00:00,2023-12-13 18:00:00,long,146.36,145.172,-118.80000000000166,1.0,-119.80000000000166,53,20,80,0,signal_flip
60m,full_2023_2025,2023-12-13 18:00:00,2023-12-18 18:00:00,short,145.172,142.919,225.2999999999986,1.0,224.2999999999986,72,20,80,0,signal_flip
60m,full_2023_2025,2023-12-18 18:00:00,2023-12-21 11:00:00,long,142.919,143.018,9.899999999998954,1.0,8.899999999998954,65,20,80,0,signal_flip
60m,full_2023_2025,2023-12-21 11:00:00,2023-12-27 01:00:00,short,143.018,142.709,30.89999999999975,1.0,29.89999999999975,71,20,80,0,signal_flip
60m,full_2023_2025,2023-12-27 01:00:00,2023-12-27 23:00:00,long,142.709,141.605,-110.40000000000134,1.0,-111.40000000000134,22,20,80,0,signal_flip
60m,full_2023_2025,2023-12-27 23:00:00,2024-01-02 17:00:00,short,141.605,141.891,-28.600000000000136,1.0,-29.600000000000136,66,20,80,0,signal_flip
