pair,vol_regime,shock_side,shock_level,shock_quantile,threshold_pct,horizon_bars,horizon_hours,count,vol20_mean_pct,current_return_mean_pct,future_return_mean_pct,mr_return_mean_pct,mr_return_median_pct,mr_return_std_pct,mr_return_t_stat,mr_win_rate_pct
USDJPY,Q5_high,lower,1pct,0.0100000000,-0.7316494116,3,12,55,0.4860364239,-1.2911711972,-0.0454651742,-0.0454651742,-0.0503318532,0.7383849861,-0.4566435699,47.2727272727
USDJPY,Q5_high,lower,1pct,0.0100000000,-0.7316494116,6,24,55,0.4860364239,-1.2911711972,-0.0296229643,-0.0296229643,0.0272682915,1.1196125254,-0.1962194759,52.7272727273
USDJPY,Q5_high,lower,1pct,0.0100000000,-0.7316494116,12,48,55,0.4860364239,-1.2911711972,0.1771032161,0.1771032161,-0.0107658464,1.2431815812,1.0565090595,49.0909090909
EURUSD,Q1_low,upper,5pct,0.0500000000,0.2907682162,1,4,4,0.1079549130,0.3538946278,0.0829376567,-0.0829376567,-0.0670707731,0.0902846941,-1.8372473319,0.0000000000
EURUSD,Q1_low,upper,5pct,0.0500000000,0.2907682162,3,12,4,0.1079549130,0.3538946278,0.0399369703,-0.0399369703,-0.0709968768,0.1062854906,-0.7515037104,25.0000000000
EURUSD,Q1_low,upper,5pct,0.0500000000,0.2907682162,6,24,4,0.1079549130,0.3538946278,0.0482542364,-0.0482542364,-0.0855974609,0.4341180478,-0.2223092851,25.0000000000
EURUSD,Q1_low,upper,5pct,0.0500000000,0.2907682162,12,48,4,0.1079549130,0.3538946278,-0.0514941458,0.0514941458,0.0115618570,0.5327817755,0.1933029552,50.0000000000
EURUSD,Q2_lower,upper,5pct,0.0500000000,0.2907682162,1,4,26,0.1365032098,0.3656758346,0.0248153388,-0.0248153388,-0.0321242572,0.1232342660,-1.0267752694,46.1538461538
EURUSD,Q2_lower,upper,5pct,0.0500000000,0.2907682162,3,12,26,0.1365032098,0.3656758346,0.0338039488,-0.0338039488,0.0300947553,0.2677023876,-0.6438754480,53.8461538462
EURUSD,Q2_lower,upper,5pct,0.0500000000,0.2907682162,6,24,26,0.1365032098,0.3656758346,-0.0177342727,0.0177342727,0.0073830104,0.3449569423,0.2621411291,53.8461538462
EURUSD,Q2_lower,upper,5pct,0.0500000000,0.2907682162,12,48,26,0.1365032098,0.3656758346,-0.0012499477,0.0012499477,0.0086516322,0.6152481186,0.0103592479,50.0000000000
EURUSD,Q3_mid,upper,5pct,0.0500000000,0.2907682162,1,4,53,0.1699151789,0.3976302950,-0.0044091554,0.0044091554,-0.0018554769,0.1889678885,0.1698655563,49.0566037736
EURUSD,Q3_mid,upper,5pct,0.0500000000,0.2907682162,3,12,53,0.1699151789,0.3976302950,-0.0368734512,0.0368734512,0.0102057384,0.2181992856,1.2302642331,54.7169811321
EURUSD,Q3_mid,upper,5pct,0.0500000000,0.2907682162,6,24,53,0.1699151789,0.3976302950,-0.0563947745,0.0563947745,0.0706983094,0.4042334370,1.0156511507,60.3773584906
EURUSD,Q3_mid,upper,5pct,0.0500000000,0.2907682162,12,48,52,0.1700709708,0.3983268362,-0.2084339332,0.2084339332,0.2236071959,0.5973980545,2.5159748284,71.1538461538
EURUSD,Q4_higher,upper,5pct,0.0500000000,0.2907682162,1,4,98,0.2084265475,0.4317069742,0.0238767694,-0.0238767694,-0.0040943526,0.2224242080,-1.0626898906,48.9795918367
EURUSD,Q4_higher,upper,5pct,0.0500000000,0.2907682162,3,12,98,0.2084265475,0.4317069742,0.0437979443,-0.0437979443,-0.0058063990,0.3450984478,-1.2563879408,50.0000000000
EURUSD,Q4_higher,upper,5pct,0.0500000000,0.2907682162,6,24,98,0.2084265475,0.4317069742,0.0254745385,-0.0254745385,0.0347258029,0.4881379679,-0.5166266130,52.0408163265
EURUSD,Q4_higher,upper,5pct,0.0500000000,0.2907682162,12,48,98,0.2084265475,0.4317069742,-0.0358382694,0.0358382694,0.0129605079,0.7603343348,0.4666115294,51.0204081633
EURUSD,Q5_high,upper,5pct,0.0500000000,0.2907682162,1,4,161,0.3361761383,0.5732982992,0.0072845789,-0.0072845789,0.0028205960,0.3465994910,-0.2666793981,50.3105590062
EURUSD,Q5_high,upper,5pct,0.0500000000,0.2907682162,3,12,161,0.3361761383,0.5732982992,0.0260537519,-0.0260537519,0.0000000000,0.5094673150,-0.6488837294,49.6894409938
EURUSD,Q5_high,upper,5pct,0.0500000000,0.2907682162,6,24,161,0.3361761383,0.5732982992,0.0351149126,-0.0351149126,0.0566869094,0.6700492822,-0.6649634631,54.0372670807
EURUSD,Q5_high,upper,5pct,0.0500000000,0.2907682162,12,48,161,0.3361761383,0.5732982992,0.0754111960,-0.0754111960,-0.0606428157,0.9562184343,-1.0006717855,47.8260869565
EURUSD,Q1_low,lower,5pct,0.0500000000,-0.3016559404,1,4,6,0.1103359375,-0.3486423941,-0.0416627453,-0.0416627453,-0.0513899141,0.1354451708,-0.7534596219,33.3333333333
EURUSD,Q1_low,lower,5pct,0.0500000000,-0.3016559404,3,12,6,0.1103359375,-0.3486423941,-0.0809190803,-0.0809190803,-0.1083340001,0.1423110320,-1.3927975539,33.3333333333
EURUSD,Q1_low,lower,5pct,0.0500000000,-0.3016559404,6,24,6,0.1103359375,-0.3486423941,0.0124774996,0.0124774996,0.0447377456,0.1729403347,0.1767286235,66.6666666667
EURUSD,Q1_low,lower,5pct,0.0500000000,-0.3016559404,12,48,6,0.1103359375,-0.3486423941,0.0205908801,0.0205908801,0.0926399532,0.4287148945,0.1176472994,66.6666666667
EURUSD,Q2_lower,lower,5pct,0.0500000000,-0.3016559404,1,4,33,0.1368006684,-0.3684302546,0.0061487434,0.0061487434,0.0044198700,0.1569870896,0.2249983866,51.5151515152
EURUSD,Q2_lower,lower,5pct,0.0500000000,-0.3016559404,3,12,33,0.1368006684,-0.3684302546,0.0026023903,0.0026023903,-0.0310888412,0.1917686551,0.0779564009,39.3939393939
