candidate,pair,timestamp,log_return_pct,vol_regime,vol20_pct,entry_open_1,exit_close_6,next_open_long_return_6_pct,next_open_long_mae_6_pct,next_open_long_mfe_6_pct,horizon_bars,horizon_hours,threshold_pct
AUDJPY lower5 long h6 next-open,AUDJPY,2022-05-12 04:00:00,-1.2111997979,Q5_high,0.4425762252,88.7930000000,88.8500000000,0.0641736539,-1.6877175155,0.3384174080,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-05-12 08:00:00,-0.7653689805,Q5_high,0.4610932055,88.1140000000,88.9550000000,0.9499193240,-0.9200787739,1.1060561496,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-05-16 00:00:00,-1.3505093223,Q5_high,0.5783339515,88.6980000000,90.4740000000,1.9825175465,-0.0101473051,2.2297965014,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-05-18 00:00:00,-0.6273414878,Q5_high,0.4617326321,90.4160000000,90.2730000000,-0.1582830497,-1.5874764836,0.4986661113,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-05-18 12:00:00,-0.9519654716,Q5_high,0.5091441019,89.7020000000,90.0580000000,0.3960841849,-0.7946587309,0.9177176004,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-05-19 04:00:00,-0.6813673663,Q5_high,0.6199710186,89.6600000000,90.3290000000,0.7433821854,-0.6579707286,0.9247760921,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-05-20 00:00:00,-0.6653503133,Q5_high,0.5407446127,89.4290000000,90.3070000000,0.9769962433,-0.0715907723,1.4035162269,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-05-20 12:00:00,-0.5335890057,Q5_high,0.5788168410,89.9020000000,90.7690000000,0.9597629451,-0.4928590166,1.2589766329,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-05-24 12:00:00,-0.5720088155,Q5_high,0.3928505671,89.6010000000,89.9470000000,0.3854127345,-0.3320200920,1.0127006166,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-05-25 08:00:00,-0.7156043870,Q5_high,0.3519327541,89.5330000000,90.0290000000,0.5524568244,-0.2560992693,1.2453820472,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-05-26 04:00:00,-0.5393600699,Q5_high,0.3729733484,89.8640000000,90.7010000000,0.9270966079,-0.2439990292,1.0295787789,6,24,-0.4801615003
