fold,stage,period_start,period_end,event_def,horizon,risk_env,funding_case,group,cost_bps,n,mean_ret_pct,median_ret_pct,win_rate_pct,profit_factor,t_stat,var_95_pct,es_95_pct,var_99_pct,es_99_pct,mean_mae_pct,worst_mae_pct,mean_mfe_pct,best_mfe_pct,maxdd_pct,is_small_sample,is_very_small_sample,is_mean_broken,is_pf_broken,is_drawdown_severe,fragility_status
wf_3,train,2020-01-01,2024-01-01,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,7,-0.5683209771109122,0.8080456820641293,57.14285714285714,0.6727864802328504,-0.4014955024029779,-5.6650936592092,-5.778124343285108,-5.755518206469926,-5.778124343285108,-5.245864333505419,-9.425650229529623,5.627432981821317,14.586244152905872,-6.1805780215122175,True,True,True,True,False,broken
wf_3,train,2020-01-01,2024-01-01,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,10,0.8239684691596642,0.8105526905871123,70.0,1.6177455958244906,0.5750102544187553,-6.064876034865878,-9.162105490490392,-8.542659599365491,-9.162105490490392,-4.710638737603313,-13.62172455334398,3.852386482558079,6.898808550413792,-10.469371889343437,True,True,False,False,False,fragile
wf_3,test,2024-01-01,2025-01-01,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,34,0.5589104379111453,0.7422597950840847,55.88235294117647,1.5320034667718125,1.0173465099951753,-5.165304022190818,-5.949052075311248,-6.082550189949075,-6.341693588951916,-3.2684070606248428,-11.266948788844585,3.1872905411614347,8.634510111262479,-10.35003135213276,False,False,False,False,False,survives_this_test
wf_3,test,2024-01-01,2025-01-01,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,2,1.656950667092437,1.656950667092437,100.0,inf,2.2087188427141258,0.9817829764185514,0.906764344121453,0.9217680705808726,0.906764344121453,-1.5310211179418098,-1.6105884490269335,4.221378408400933,4.766720223985407,0.0,True,True,False,False,False,fragile
wf_3,test,2024-01-01,2025-01-01,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,11,-0.48367270329791984,-1.149006350065471,36.36363636363637,0.736817018722877,-0.4334943815254572,-5.097278490429895,-6.341693588951916,-6.092810569247512,-6.341693588951916,-4.478271911051816,-9.350759988572834,2.8669284167999267,6.561772776716013,-13.51446285236536,True,True,True,True,False,broken
wf_3,test,2024-01-01,2025-01-01,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,34,0.7648470283963943,1.2816197637065714,61.76470588235294,1.4895325761293277,0.9058988566151512,-5.60916414484502,-10.459771988545628,-11.857555635397413,-14.570900361639113,-4.581995849363096,-24.800118946067222,4.272114814345763,12.317013986972155,-13.55907934573537,False,False,False,False,False,survives_this_test
wf_3,test,2024-01-01,2025-01-01,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,2,4.122068281463126,4.122068281463126,100.0,inf,269.5981531940493,4.108307573500684,4.1067786059493026,4.107084399459579,4.1067786059493026,-1.5310211179418098,-1.6105884490269335,5.852399246360538,6.561935752041556,0.0,True,True,False,False,False,fragile
wf_3,test,2024-01-01,2025-01-01,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,11,-0.2056432513333604,0.19997718596654768,54.54545454545454,0.8701783126207993,-0.19299786494968965,-5.0363478307370135,-5.210982891441185,-5.176055879300351,-5.210982891441185,-5.117127239923614,-9.350759988572834,3.5847710422701224,6.997349780838566,-7.9706708853303665,True,True,True,True,False,broken
wf_4,train,2020-01-01,2025-01-01,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,143,0.36227949763596495,0.37737435630991356,54.54545454545454,1.2504156356188112,0.9951311365866816,-7.416164386801944,-10.470620198814098,-12.936845620045656,-14.123602039996902,-4.016138310025303,-36.61731954434463,3.35007340388806,14.586244152905872,-30.823393023738564,False,False,False,False,True,watch
wf_4,train,2020-01-01,2025-01-01,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,9,1.818300430122862,0.906764344121453,66.66666666666666,4.331548045302154,1.3719531814732486,-2.468513616318374,-3.0304148517102165,-2.918034604631848,-3.0304148517102165,-3.4504283090892387,-9.425650229529623,5.133495793480403,14.586244152905872,-2.984958113982661,True,True,False,False,False,fragile
wf_4,train,2020-01-01,2025-01-01,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,21,-0.02858927788828916,-0.7972547095768451,47.61904761904761,0.9816541162457783,-0.035369502588078694,-6.341693588951916,-6.927515444291327,-7.279008557494972,-7.513337299630736,-4.1149342847385375,-12.257577792119946,2.9720867613871906,6.898808550413792,-19.24975261528139,True,False,True,True,False,broken
wf_4,train,2020-01-01,2025-01-01,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,143,0.9184966352311961,1.3320279105041337,64.33566433566433,1.5655742383313396,1.9860291401055148,-7.23814777567028,-12.627025650648418,-16.222300691840104,-19.15659681170884,-4.891969734561148,-36.61731954434463,4.567917552616558,16.54069379542192,-42.4412787279136,False,False,False,False,True,watch
wf_4,train,2020-01-01,2025-01-01,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,9,0.4739877470166517,1.0411477740802735,66.66666666666666,1.3508723433885361,0.3696585778073268,-5.62741676451723,-5.778124343285108,-5.747982827531533,-5.778124343285108,-4.4203436189357275,-9.425650229529623,5.677425485052255,14.586244152905872,-6.1805780215122175,True,True,False,False,False,fragile
wf_4,train,2020-01-01,2025-01-01,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,21,0.2846480441395086,0.514053545565178,61.904761904761905,1.1943129218339719,0.3285559133087773,-5.210982891441185,-7.186544190965788,-8.37188097068055,-9.162105490490392,-4.923561286437757,-13.62172455334398,3.712206966216769,6.997349780838566,-16.5215758158713,True,False,False,False,False,watch
wf_4,test,2025-01-01,,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,58,0.2880831575245274,0.0620375527199588,50.0,1.2948156390716092,0.6724502602692879,-3.1775488777417022,-5.686516969169281,-6.42330424040963,-10.255774739052239,-3.0126603176146753,-16.987413450951745,2.313693709117657,16.15690254573776,-23.46088384307431,False,False,False,False,True,watch
wf_4,test,2025-01-01,,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,6,0.5158379574961308,0.5706725049392356,66.66666666666666,1.726873686262261,0.46440945011478607,-2.830571001243831,-3.5321422852932787,-3.391828028483389,-3.5321422852932787,-1.4513371707475755,-4.037484630176246,1.907621733018731,5.442578403566576,-3.4704901515850928,True,True,False,False,False,fragile
wf_4,test,2025-01-01,,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,5,-1.1405800352549627,-0.7614415507194254,20.0,0.04800209262369759,-1.9144855867561898,-2.62776657152459,-2.6884128774660185,-2.676283616277733,-2.6884128774660185,-5.234245027660271,-11.103966775930456,1.0631560192851126,3.782272765609171,-5.396414998603993,True,True,True,True,False,broken
wf_4,test,2025-01-01,,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,58,-0.17392408163750456,0.13720049116664973,53.44827586206896,0.8967406209072503,-0.31645613201371064,-7.312999813104463,-9.815662900605805,-10.567851279995862,-13.8836558601179,-4.28091378474314,-18.281351962859926,3.1367032521609257,16.15690254573776,-27.89261853840155,False,False,True,True,True,broken
wf_4,test,2025-01-01,,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,6,2.0766029253864193,2.9267521923300963,83.33333333333334,4.625579326235119,1.7564812422178164,-2.1784621190262574,-3.436586661381054,-3.1849617529100946,-3.436586661381054,-1.4926137151315424,-4.037484630176246,3.8044813772595325,6.946730523974145,-3.37820669219423,True,True,False,False,False,fragile
wf_4,test,2025-01-01,,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,5,-1.7165317589944977,-1.3101702752785795,20.0,0.08482389374897856,-2.164469343641582,-3.5206077735567063,-3.587275353732574,-3.5739418376974004,-3.587275353732574,-7.124813257000157,-11.103966775930456,1.0631560192851126,3.782272765609171,-5.189233587275388,True,True,True,True,False,broken
