event_def,horizon,risk_env,term,coef_pct,se_pct,t_stat,naive_p
rolling_1_5sigma,5d,sp500_5d_up,intercept_not_low_risk_off,-1.4335698549202853,0.7544786111394794,-1.9000801795496667,0.05829669115969566
rolling_1_5sigma,5d,sp500_5d_up,funding_low,3.1915608812971326,1.4030732918810396,2.2746929185847056,0.023567604944038704
rolling_1_5sigma,5d,sp500_5d_up,risk_on,2.6045622365891115,1.0209146458832574,2.551204693841708,0.011187237825130448
rolling_1_5sigma,5d,sp500_5d_up,funding_low_x_risk_on,-3.3400633816010155,2.2646073925362686,-1.474897323310545,0.14119643791423486
rolling_1_5sigma,5d,broad_3of4_5d_up,intercept_not_low_risk_off,-1.7057194265041633,0.7050557410399597,-2.4192688992053606,0.016093646474086697
rolling_1_5sigma,5d,broad_3of4_5d_up,funding_low,3.4789907742426345,1.348851055002986,2.5792253053729,0.010335969919384996
rolling_1_5sigma,5d,broad_3of4_5d_up,risk_on,3.469344300846158,1.0088074173497572,3.439055107227987,0.0006588504741949158
rolling_1_5sigma,5d,broad_3of4_5d_up,funding_low_x_risk_on,-4.317300478441638,2.283537511010089,-1.8906194698470027,0.059553701014123335
full_sample_q05,24h,nasdaq_5d_up,intercept_not_low_risk_off,-0.07411953964115113,0.4635589319164705,-0.1598923772965006,0.8730949626145177
full_sample_q05,24h,nasdaq_5d_up,funding_low,1.0910450254554358,0.8420966186171741,1.2956292678707881,0.19629823084490255
full_sample_q05,24h,nasdaq_5d_up,risk_on,-0.2437922907721856,0.6454590822984483,-0.37770371113851736,0.7059711791331359
full_sample_q05,24h,nasdaq_5d_up,funding_low_x_risk_on,0.3224868620862847,1.317038462432562,0.24485758866195406,0.8067675617240616
full_sample_q05,24h,sp500_5d_up,intercept_not_low_risk_off,0.035719335900938454,0.46307356879331824,0.07713533725109006,0.9385775779003587
full_sample_q05,24h,sp500_5d_up,funding_low,0.8150386799219355,0.8646572479004746,0.9426147550384608,0.3467879854778674
full_sample_q05,24h,sp500_5d_up,risk_on,-0.4567452127415418,0.6447832630778885,-0.7083701437305576,0.4793753827862688
full_sample_q05,24h,sp500_5d_up,funding_low_x_risk_on,0.9205743901855652,1.2959996713557382,0.7103199256389914,0.47816783893797177
full_sample_q05,24h,broad_3of4_5d_up,intercept_not_low_risk_off,0.0051979923583811835,0.4419450895314414,0.011761624874918723,0.990625177816267
full_sample_q05,24h,broad_3of4_5d_up,funding_low,0.828248234194798,0.8373365083824363,0.9891462105179254,0.3235479817778699
full_sample_q05,24h,broad_3of4_5d_up,risk_on,-0.43777500646725,0.6457287304877464,-0.6779549767540619,0.4984272199119316
full_sample_q05,24h,broad_3of4_5d_up,funding_low_x_risk_on,0.9830286986372146,1.308379542264669,0.7513329786062645,0.45315896236878717
full_sample_q05,48h,nasdaq_5d_up,intercept_not_low_risk_off,-0.408744500994968,0.5676285727637507,-0.7200914834234202,0.4721413635652837
full_sample_q05,48h,nasdaq_5d_up,funding_low,1.0578651141101354,1.031148509594414,1.02590956032728,0.3059258304474037
full_sample_q05,48h,nasdaq_5d_up,risk_on,0.954682410346301,0.7903655661379582,1.2078998013681954,0.22822721937134188
full_sample_q05,48h,nasdaq_5d_up,funding_low_x_risk_on,0.9213250081515587,1.612715474200525,0.5712880064031687,0.5683176471231292
full_sample_q05,48h,sp500_5d_up,intercept_not_low_risk_off,-0.32964600621733303,0.569482622700746,-0.578851738537695,0.5632103648770507
full_sample_q05,48h,sp500_5d_up,funding_low,1.2409728282152745,1.063345676486549,1.167045539053332,0.24430393314120916
full_sample_q05,48h,sp500_5d_up,risk_on,0.8013281857774184,0.7929471437723727,1.0105694838185224,0.31319960019486154
full_sample_q05,48h,sp500_5d_up,funding_low_x_risk_on,0.2447081355355886,1.5938056965466352,0.15353699391701753,0.8780986792967675
full_sample_q05,48h,broad_3of4_5d_up,intercept_not_low_risk_off,-0.12804377674380774,0.5448596907452734,-0.2350032107691176,0.8143986123521455
full_sample_q05,48h,broad_3of4_5d_up,funding_low,1.3802844147274484,1.032324878845664,1.3370639834534157,0.18241708531128004
full_sample_q05,48h,broad_3of4_5d_up,risk_on,0.45197459108109306,0.7960978970756526,0.5677374513126521,0.5707227597100886
full_sample_q05,48h,broad_3of4_5d_up,funding_low_x_risk_on,-0.19499473298643522,1.6130584764084208,-0.12088509861130615,0.9038791452886062
full_sample_q05,5d,nasdaq_5d_up,intercept_not_low_risk_off,-1.5223096489558232,0.9282718007722914,-1.6399395604706637,0.10227536688571011
full_sample_q05,5d,nasdaq_5d_up,funding_low,2.7660214396263716,1.6862894677841669,1.640300489607519,0.10220027392825091
full_sample_q05,5d,nasdaq_5d_up,risk_on,3.270608983321261,1.2925249054590005,2.5304030657419365,0.01200782921744492
full_sample_q05,5d,nasdaq_5d_up,funding_low_x_risk_on,-3.109375750408904,2.637355427829274,-1.1789748615597615,0.23952901955482112
full_sample_q05,5d,sp500_5d_up,intercept_not_low_risk_off,-1.046030545779229,0.9335296021698827,-1.12051138319326,0.26357115080641935
full_sample_q05,5d,sp500_5d_up,funding_low,2.844208340909699,1.7430991337925021,1.631696262002889,0.10400247812588417
full_sample_q05,5d,sp500_5d_up,risk_on,2.347210722060521,1.299845863877311,1.8057608115619381,0.07215849864474376
full_sample_q05,5d,sp500_5d_up,funding_low_x_risk_on,-3.5181820811545292,2.6126605773801144,-1.3465897987722693,0.17933191847792862
full_sample_q05,5d,broad_3of4_5d_up,intercept_not_low_risk_off,-0.983739385799309,0.8902821113832474,-1.1049748986541528,0.2702327620770808
full_sample_q05,5d,broad_3of4_5d_up,funding_low,2.829321420715081,1.6867835671878348,1.677347038323392,0.09472441719669199
full_sample_q05,5d,broad_3of4_5d_up,risk_on,2.4515879816375987,1.3007967532096676,1.884681811811412,0.06063282927329999
full_sample_q05,5d,broad_3of4_5d_up,funding_low_x_risk_on,-3.8375919033094985,2.635682416141354,-1.4560145333927383,0.14664326348220846
