event_def,horizon,risk_env,period,group,n,mean_ret_pct,median_ret_pct,win_rate_pct,profit_factor,t_stat,mean_mae_pct,worst_mae_pct,mean_mfe_pct,best_mfe_pct,maxdd_pct
rolling_2sigma,48h,broad_3of4_5d_up,post_btc_etf,funding_low_x_risk_on,8,2.2679242122342265,3.2782777669373306,87.5,4.3171573740423765,1.9525447551674404,-1.9102301551506633,-7.793452451906104,4.60473509998658,6.946730523974145,-5.322670499438498
rolling_2sigma,48h,broad_3of4_5d_up,post_btc_etf,funding_high_x_risk_off,16,0.1452050720269905,-0.2156378565540507,50.0,1.1003556475773424,0.1647133627612904,-5.092300527049271,-11.103966775930456,3.387321820458364,8.102806499104759,-8.590909888241228
rolling_2sigma,5d,nasdaq_5d_up,all,all_funding_covered_crashes,201,0.6471304344411787,1.2411557969275255,56.71641791044776,1.230986651220737,1.0841816795730062,-7.077750310955974,-50.636206449343334,6.674754919204131,31.444205828993194,-70.07390815413308
rolling_2sigma,5d,nasdaq_5d_up,all,funding_low_x_risk_on,15,2.194072200556089,3.5868121286749948,66.66666666666666,2.9072087417385815,1.5295044349928597,-4.454213146279931,-14.641592066042206,7.232144141629572,14.586244152905872,-12.192539671292035
rolling_2sigma,5d,nasdaq_5d_up,all,funding_high_x_risk_off,26,0.0885260739904468,1.314884327365929,61.53846153846154,1.0327494103485013,0.060971483616567825,-7.458248835765692,-28.05836351820929,5.9720684443528675,15.14805576551559,-25.11244427741911
rolling_2sigma,5d,nasdaq_5d_up,2020_plus,all_funding_covered_crashes,201,0.6471304344411787,1.2411557969275255,56.71641791044776,1.230986651220737,1.0841816795730062,-7.077750310955974,-50.636206449343334,6.674754919204131,31.444205828993194,-70.07390815413308
rolling_2sigma,5d,nasdaq_5d_up,2020_plus,funding_low_x_risk_on,15,2.194072200556089,3.5868121286749948,66.66666666666666,2.9072087417385815,1.5295044349928597,-4.454213146279931,-14.641592066042206,7.232144141629572,14.586244152905872,-12.192539671292035
rolling_2sigma,5d,nasdaq_5d_up,2020_plus,funding_high_x_risk_off,26,0.0885260739904468,1.314884327365929,61.53846153846154,1.0327494103485013,0.060971483616567825,-7.458248835765692,-28.05836351820929,5.9720684443528675,15.14805576551559,-25.11244427741911
rolling_2sigma,5d,nasdaq_5d_up,2021_plus,all_funding_covered_crashes,193,0.23980509423439283,0.659374118032792,54.92227979274611,1.0821891925408014,0.39943064298646724,-7.25031033056762,-50.636206449343334,6.409038083822422,31.444205828993194,-70.0739081541331
rolling_2sigma,5d,nasdaq_5d_up,2021_plus,funding_low_x_risk_on,15,2.194072200556089,3.5868121286749948,66.66666666666666,2.9072087417385815,1.5295044349928597,-4.454213146279931,-14.641592066042206,7.232144141629572,14.586244152905872,-12.192539671292035
rolling_2sigma,5d,nasdaq_5d_up,2021_plus,funding_high_x_risk_off,25,-0.02944180606155578,1.2668095677289881,60.0,0.9895271860350111,-0.019546868437383944,-7.626670567026482,-28.05836351820929,5.99015771549626,15.14805576551559,-25.11244427741911
rolling_2sigma,5d,nasdaq_5d_up,2022_rate_hike,all_funding_covered_crashes,33,-2.4710220292578997,-0.31086141098430903,48.484848484848484,0.4641262583526033,-1.3896721036061745,-9.976328045456238,-37.51365664326547,6.187116853385797,25.949261591605406,-66.99133708383879
