combo_id,is_blocks,oos_blocks,is_start,is_end,oos_start,oos_end,selected_strategy_id,selected_strategy_index,selected_is_sharpe,selected_oos_sharpe,selected_is_cum_return,selected_oos_cum_return,oos_rank_desc_1_best,oos_percentile_desc_1_best,oos_median_sharpe,oos_median_or_worse,oos_loss,best_oos_strategy_id,best_oos_sharpe
61,2;3;6;7,0;1;4;5,2021-07-02 09:00,2025-12-31 20:00,2020-01-01 22:00,2024-07-01 19:00,ma_s5_l50_sl_atr1_5_tp_none,6,0.6262711334922338,-0.1837977088858673,0.18798380600191833,-0.05628636155304845,58,0.4027777777777778,-0.35128258658026656,False,True,ma_s20_l50_sl_none_tp_none,0.6611514844079911
62,2;4;5;6,0;1;3;7,2021-07-02 09:00,2025-04-02 07:00,2020-01-01 22:00,2025-12-31 20:00,ma_s10_l50_sl_none_tp_none,36,0.7182493300953098,0.28068171776204953,0.2136771608244561,0.07007162137012868,21,0.14583333333333334,-0.44805735947589653,False,False,ma_s20_l100_sl_atr1_5_tp_none,0.5757917718191192
63,2;4;5;7,0;1;3;6,2021-07-02 09:00,2025-12-31 20:00,2020-01-01 22:00,2025-04-02 07:00,ma_s10_l50_sl_none_tp_none,36,1.0210459441830746,0.03485937480635699,0.3044791290422153,-0.004413747687278646,67,0.4652777777777778,-0.16208976517320378,False,True,ma_s20_l100_sl_atr1_5_tp_none,0.8666663359354405
64,2;4;6;7,0;1;3;5,2021-07-02 09:00,2025-12-31 20:00,2020-01-01 22:00,2024-07-01 19:00,ma_s10_l50_sl_none_tp_none,36,0.7715877194969631,0.21258948555953788,0.2390541039030052,0.04815559160195648,38,0.2638888888888889,-0.24961536264720752,False,False,ma_s10_l150_sl_atr1_0_tp_none,0.7465222894849946
65,2;5;6;7,0;1;3;4,2021-07-02 09:00,2025-12-31 20:00,2020-01-01 22:00,2023-09-29 05:00,ma_s10_l50_sl_none_tp_none,36,0.7476066954311023,0.2673832961348658,0.2164582598712892,0.06762519532789146,20,0.1388888888888889,-0.3630981593445831,False,False,ma_s20_l50_sl_none_tp_none,0.7901266582670278
66,3;4;5;6,0;1;2;7,2022-04-01 08:00,2025-04-02 07:00,2020-01-01 22:00,2025-12-31 20:00,ma_s10_l200_sl_atr1_0_tp_none,66,0.6627542783647993,-0.7351437099947444,0.21652125860613136,-0.16583345705566954,72,0.5,-0.7439286049636458,False,True,ma_s20_l50_sl_none_tp_none,0.8943292077548969
67,3;4;5;7,0;1;2;6,2022-04-01 08:00,2025-12-31 20:00,2020-01-01 22:00,2025-04-02 07:00,ma_s10_l50_sl_atr1_5_tp_none,42,0.5435932690702705,0.4717943018909629,0.16194336874380766,0.11371052487233535,21,0.14583333333333334,-0.22394173558768854,False,False,ma_s20_l50_sl_none_tp_none,0.8296155656146302
68,3;4;6;7,0;1;2;5,2022-04-01 08:00,2025-12-31 20:00,2020-01-01 22:00,2024-07-01 19:00,ma_s20_l50_sl_none_tp_none,72,0.4529618770727613,0.7791338889654503,0.1450691749403954,0.18291059656311237,3,0.020833333333333332,-0.41970657016056767,False,False,ma_s10_l50_sl_none_tp_none,0.8087611846760494
69,3;5;6;7,0;1;2;4,2022-04-01 08:00,2025-12-31 20:00,2020-01-01 22:00,2023-09-29 05:00,ma_s5_l50_sl_atr1_5_tp_none,6,0.561515580313777,-0.13773746953452498,0.17082286476622754,-0.04245419720090171,48,0.3333333333333333,-0.5183469168394713,False,True,ma_s20_l50_sl_none_tp_none,1.2155465073219
70,4;5;6;7,0;1;2;3,2022-12-30 08:00,2025-12-31 20:00,2020-01-01 22:00,2022-12-30 07:00,ma_s10_l50_sl_none_tp_none,36,0.5726746772642642,0.41670759270113167,0.17512292177058608,0.10517926528613519,18,0.125,-0.3159382266793098,False,False,ma_s20_l50_sl_atr1_5_tp_none,0.9469964291196926
