full_sample_rank,strategy_id,short_ma,long_ma,sl_atr,tp_atr,full_sample_sharpe,full_sample_cum_return,full_sample_max_drawdown,bar_profit_factor,trade_count,win_rate,trade_profit_factor,avg_trade_return,median_trade_return
28,ma_s30_l100_sl_none_tp_none,30,100,none,none,0.11046960998632921,0.03751619165740516,-0.21299586782145108,1.004623163836836,420,0.3476190476190476,1.0439456494333688,0.00015203837371880588,-0.002197474053281894
29,ma_s10_l200_sl_atr1_5_tp_none,10,200,1.5,none,0.10885155237218015,0.036336957344804244,-0.17085572715312047,1.0044672251856759,981,0.22426095820591233,1.0400699302472034,6.264711150304033e-05,-0.0014844365602080312
30,ma_s20_l50_sl_none_tp_atr1_5,20,50,none,1.5,0.09052781486254112,0.02565480238876927,-0.1616977455468992,1.0037140616911275,2737,0.7186700767263428,1.0121037444237655,1.8431932737437566e-05,0.0014434063670677305
31,ma_s5_l200_sl_atr1_5_tp_none,5,200,1.5,none,0.081656516650127,0.020538898485543244,-0.16729947489369945,1.0033529731057709,1006,0.21769383697813122,1.0304229332585457,4.587879370017541e-05,-0.0014026403235913745
32,ma_s10_l100_sl_atr1_5_tp_none,10,100,1.5,none,0.07985460094002664,0.019524553205954698,-0.220736432910571,1.0032679288605457,1267,0.2462509865824783,1.023234137528937,3.548266159968513e-05,-0.0014118292955969428
33,ma_s10_l200_sl_none_tp_none,10,200,none,none,0.07683339284535386,0.017542550226366416,-0.16217143307358328,1.0032135536137066,448,0.25,1.033010178510117,9.91303796663445e-05,-0.0021285435812844864
34,ma_s30_l150_sl_atr1_5_tp_none,30,150,1.5,none,0.07547451059405623,0.016977534254577265,-0.18731549211702825,1.003101341385073,1022,0.2318982387475538,1.0257401249705844,4.173854021103174e-05,-0.0015427034288088247
35,ma_s10_l200_sl_atr1_0_tp_none,10,200,1.0,none,0.07153470513083433,0.014781332709792538,-0.18972864696921632,1.002926790421418,1328,0.18147590361445784,1.0252973139215213,3.0277154197086355e-05,-0.0011735789011567937
36,ma_s20_l50_sl_none_tp_atr2_0,20,50,none,2.0,0.06822106260494637,0.012913149846423666,-0.16780426691856398,1.0028073711058407,2156,0.6493506493506493,1.00966146357164,1.773789207442925e-05,0.0017473325314769474
37,ma_s5_l200_sl_atr1_0_tp_none,5,200,1.0,none,0.061532270317926234,0.009050633987881751,-0.1770960200526639,1.0025237537563028,1336,0.18188622754491018,1.0220471300536125,2.594830833408809e-05,-0.0011270694035797647
38,ma_s30_l150_sl_none_tp_none,30,150,none,none,0.06119087173947323,0.008381785484033788,-0.19082242204786637,1.0025584068017241,348,0.29310344827586204,1.02710797697502,0.00010163808209778036,-0.0026353817879168013
39,ma_s5_l150_sl_atr1_5_tp_none,5,150,1.5,none,0.055637477421786145,0.005659322009667456,-0.1833221823730008,1.002283393922052,1132,0.21908127208480566,1.0188340989843208,2.7750712851076677e-05,-0.0014126012271989173
40,ma_s30_l150_sl_atr1_0_tp_none,30,150,1.0,none,0.0484343470369835,0.0017304632120440644,-0.18736195132334632,1.0019821506860906,1427,0.1807988787666433,1.015649249155544,1.9043409053093542e-05,-0.0011606160194070987
41,ma_s10_l100_sl_atr1_0_tp_none,10,100,1.0,none,0.04482551966698601,-0.00016339128895170862,-0.23429682915315708,1.0018228457906844,1699,0.19894055326662743,1.0124473176825144,1.4727561918151891e-05,-0.0011294553705000294
42,ma_s30_l100_sl_atr1_5_tp_none,30,100,1.5,none,0.027086924706377746,-0.010268376033560345,-0.20970206417301518,1.0011060106359104,1179,0.2408821034775233,1.0080822463407824,1.291659828462971e-05,-0.0015168830734412174
