symbol,oi_timestamp,oi_time_ms,open_interest_contracts,open_interest_value_usdt,cmc_circulating_supply
ETHUSDT,2026-05-17 04:00:00,1778990400000,2319680.3560000001,5058629403.3318033218,120685841.0860307664
ETHUSDT,2026-05-17 08:00:00,1779004800000,2299569.3160000001,5025977176.8007669449,120685841.0860307664
ETHUSDT,2026-05-17 12:00:00,1779019200000,2296572.2769999998,5032088413.3030099869,120685841.0860307664
ETHUSDT,2026-05-17 16:00:00,1779033600000,2294435.8530000001,5014466612.3729696274,120685841.0860307664
ETHUSDT,2026-05-17 20:00:00,1779048000000,2293645.1710000001,5026380403.9064664841,120685841.0860307664
ETHUSDT,2026-05-18 00:00:00,1779062400000,2228492.7050000001,4746684901.0173940659,120685841.0860307664
ETHUSDT,2026-05-18 04:00:00,1779076800000,2258015.3569999998,4781669119.3556203842,120685788.7944471985
ETHUSDT,2026-05-18 08:00:00,1779091200000,2258452.6690000002,4786898259.9388351440,120685788.7944471985
ETHUSDT,2026-05-18 12:00:00,1779105600000,2246171.9049999998,4791062211.6459503174,120685788.7944471985
ETHUSDT,2026-05-18 16:00:00,1779120000000,2248850.0189999999,4737045145.5221700668,120685788.7944471985
ETHUSDT,2026-05-18 20:00:00,1779134400000,2186540.3520000000,4644590301.1844244003,120685788.7944471985
ETHUSDT,2026-05-19 00:00:00,1779148800000,2156233.2420000001,4590779557.6773834229,120685788.7944471985
ETHUSDT,2026-05-19 04:00:00,1779163200000,2169957.4279999998,4623011637.7136430740,120685747.4287429601
ETHUSDT,2026-05-19 08:00:00,1779177600000,2162954.7930000001,4628944982.7703437805,120685747.4287429601
ETHUSDT,2026-05-19 12:00:00,1779192000000,2189307.9640000002,4618848690.8897199631,120685747.4287429601
ETHUSDT,2026-05-19 16:00:00,1779206400000,2228086.4619999998,4699814178.6197004318,120685747.4287429601
ETHUSDT,2026-05-19 20:00:00,1779220800000,2209028.9049999998,4666271935.1739749908,120685747.4287429601
ETHUSDT,2026-05-20 00:00:00,1779235200000,2205366.3369999998,4655528337.4069995880,120685747.4287429601
