symbol,funding_regime,shock_side,shock_level,threshold_pct,funding_q20_pct,funding_q80_pct,horizon_bars,horizon_hours,count,signal_return_mean_pct,funding_rate_mean_pct,funding_rate_24h_sum_mean_pct,holding_funding_sum_mean_pct,gross_mr_return_mean_pct,gross_mr_return_median_pct,gross_mr_win_rate_pct,gross_mr_return_t_stat,funding_adjusted_mr_return_mean_pct,funding_adjusted_mr_return_median_pct,funding_adjusted_mr_win_rate_pct,funding_adjusted_mr_return_t_stat
SOLUSDT,funding_neutral,lower,5pct,-3.7212992607,-0.0039406000,0.0100000000,1,4,99,-5.5060972022,0.0044775758,0.0084420404,-0.0084603939,0.2228546730,0.2450230935,54.5454545455,0.6651916856,0.2313150669,0.2450230935,54.5454545455,0.6913064123
SOLUSDT,funding_neutral,lower,5pct,-3.7212992607,-0.0039406000,0.0100000000,2,8,99,-5.5060972022,0.0044775758,0.0084420404,-0.0115411212,0.3820521155,0.3030305349,55.5555555556,0.9054097928,0.3935932367,0.3097585349,55.5555555556,0.9322470783
SOLUSDT,funding_neutral,lower,5pct,-3.7212992607,-0.0039406000,0.0100000000,3,12,99,-5.5060972022,0.0044775758,0.0084420404,-0.0206079091,0.3090997445,0.0736967628,50.5050505051,0.5860518201,0.3297076536,0.0805627628,50.5050505051,0.6258260642
SOLUSDT,funding_neutral,lower,5pct,-3.7212992607,-0.0039406000,0.0100000000,6,24,99,-5.5060972022,0.0044775758,0.0084420404,-0.0274530000,1.2554993759,1.1110832252,56.5656565657,1.8675978933,1.2829523759,1.1422251445,56.5656565657,1.9148548669
SOLUSDT,funding_neutral,lower,5pct,-3.7212992607,-0.0039406000,0.0100000000,12,48,99,-5.5060972022,0.0044775758,0.0084420404,-0.0401903535,1.3861568905,1.0257268084,57.5757575758,1.5041687259,1.4263472440,1.0344928084,57.5757575758,1.5521270778
SOLUSDT,funding_neutral,lower,5pct,-3.7212992607,-0.0039406000,0.0100000000,18,72,99,-5.5060972022,0.0044775758,0.0084420404,-0.0388874444,2.5313290312,2.5803127091,64.6464646465,2.7117519634,2.5702164756,2.5294017091,63.6363636364,2.7623071544
SOLUSDT,funding_high,lower,5pct,-3.7212992607,-0.0039406000,0.0100000000,1,4,339,-5.7736068043,0.0248640236,0.0709349912,0.0113003805,0.6716158719,0.5633817718,57.2271386431,3.0984150748,0.6603154914,0.5533817718,57.2271386431,3.0493344490
SOLUSDT,funding_high,lower,5pct,-3.7212992607,-0.0039406000,0.0100000000,2,8,339,-5.7736068043,0.0248640236,0.0709349912,0.0179782124,0.7506978076,0.6647697795,56.3421828909,2.6266964409,0.7327195952,0.6522540760,56.3421828909,2.5653234813
SOLUSDT,funding_high,lower,5pct,-3.7212992607,-0.0039406000,0.0100000000,3,12,339,-5.7736068043,0.0248640236,0.0709349912,0.0249895546,0.9679903470,0.6402948928,55.4572271386,2.7568479523,0.9430007924,0.5870166987,55.4572271386,2.6905274343
SOLUSDT,funding_high,lower,5pct,-3.7212992607,-0.0039406000,0.0100000000,6,24,339,-5.7736068043,0.0248640236,0.0709349912,0.0453735280,1.8267002146,1.0959013790,56.3421828909,3.6554769812,1.7813266865,1.0877869927,56.3421828909,3.5695127228
SOLUSDT,funding_high,lower,5pct,-3.7212992607,-0.0039406000,0.0100000000,12,48,339,-5.7736068043,0.0248640236,0.0709349912,0.0702040118,2.1280810283,1.4545711002,55.1622418879,3.0600432885,2.0578770165,1.4088501002,54.2772861357,2.9923849548
SOLUSDT,funding_high,lower,5pct,-3.7212992607,-0.0039406000,0.0100000000,18,72,339,-5.7736068043,0.0248640236,0.0709349912,0.0186946608,2.8777803731,2.4339068305,60.1769911504,3.4787011429,2.8590857124,2.2833023053,58.4070796460,3.5651997556
