symbol,shock_side,shock_level,shock_quantile,threshold_pct,horizon_bars,horizon_hours,count,current_return_mean_pct,future_return_mean_pct,future_return_median_pct,future_return_std_pct,future_return_t_stat,mr_return_mean_pct,mr_return_median_pct,mr_return_std_pct,mr_return_t_stat,mr_win_rate_pct
SOLUSDT,upper,5pct,0.0500000000,3.8325049439,18,72,636,6.2535717467,1.9033057307,1.3446397769,13.3197822868,3.6036282825,-1.9033057307,-1.3446397769,13.3197822868,-3.6036282825,44.1823899371
SOLUSDT,lower,5pct,0.0500000000,-3.7212992607,1,4,636,-5.8667251340,0.5315300867,0.5468909670,4.4447175834,3.0158673734,0.5315300867,0.5468909670,4.4447175834,3.0158673734,57.0754716981
SOLUSDT,lower,5pct,0.0500000000,-3.7212992607,2,8,636,-5.8667251340,0.6927421240,0.5234991209,5.6258538409,3.1053582484,0.6927421240,0.5234991209,5.6258538409,3.1053582484,55.5031446541
SOLUSDT,lower,5pct,0.0500000000,-3.7212992607,3,12,636,-5.8667251340,0.7030959195,0.5078628995,7.2055508743,2.4607978941,0.7030959195,0.5078628995,7.2055508743,2.4607978941,54.2452830189
SOLUSDT,lower,5pct,0.0500000000,-3.7212992607,6,24,636,-5.8667251340,1.5462395788,1.2851430054,9.4926264379,4.1078913935,1.5462395788,1.2851430054,9.4926264379,4.1078913935,56.7610062893
SOLUSDT,lower,5pct,0.0500000000,-3.7212992607,12,48,636,-5.8667251340,1.7950810021,1.5507047612,12.5479580868,3.6077758665,1.7950810021,1.5507047612,12.5479580868,3.6077758665,57.3899371069
SOLUSDT,lower,5pct,0.0500000000,-3.7212992607,18,72,636,-5.8667251340,2.5184972485,2.7537711044,14.6947296028,4.3222356341,2.5184972485,2.7537711044,14.6947296028,4.3222356341,61.4779874214
SOLUSDT,upper,2_5pct,0.0250000000,5.4293198767,1,4,318,7.9506342872,-0.0617979868,-0.5121343331,4.5430327030,-0.2425727568,0.0617979868,0.5121343331,4.5430327030,0.2425727568,53.7735849057
SOLUSDT,upper,2_5pct,0.0250000000,5.4293198767,2,8,318,7.9506342872,0.6183622094,0.0418295872,6.0223922711,1.8309962725,-0.6183622094,-0.0418295872,6.0223922711,-1.8309962725,48.4276729560
SOLUSDT,upper,2_5pct,0.0250000000,5.4293198767,3,12,318,7.9506342872,0.9301376840,0.4335061762,6.7599170629,2.4536885272,-0.9301376840,-0.4335061762,6.7599170629,-2.4536885272,47.7987421384
SOLUSDT,upper,2_5pct,0.0250000000,5.4293198767,6,24,318,7.9506342872,1.2426063297,1.2664164293,9.1105666680,2.4322137034,-1.2426063297,-1.2664164293,9.1105666680,-2.4322137034,45.5974842767
SOLUSDT,upper,2_5pct,0.0250000000,5.4293198767,12,48,318,7.9506342872,2.3035009443,1.6191124319,11.8337075547,3.4712118701,-2.3035009443,-1.6191124319,11.8337075547,-3.4712118701,42.7672955975
SOLUSDT,upper,2_5pct,0.0250000000,5.4293198767,18,72,318,7.9506342872,2.4176396337,1.2980200489,14.2620384912,3.0228982032,-2.4176396337,-1.2980200489,14.2620384912,-3.0228982032,44.9685534591
SOLUSDT,lower,2_5pct,0.0250000000,-5.1237741663,1,4,318,-7.4369877897,0.9301094741,1.0189915694,5.1620021999,3.2131384774,0.9301094741,1.0189915694,5.1620021999,3.2131384774,60.0628930818
SOLUSDT,lower,2_5pct,0.0250000000,-5.1237741663,2,8,318,-7.4369877897,0.9806531134,0.7669997674,6.4868667248,2.6958392753,0.9806531134,0.7669997674,6.4868667248,2.6958392753,56.6037735849
SOLUSDT,lower,2_5pct,0.0250000000,-5.1237741663,3,12,318,-7.4369877897,0.9365525466,1.0420773991,8.4250499512,1.9823175443,0.9365525466,1.0420773991,8.4250499512,1.9823175443,55.6603773585
SOLUSDT,lower,2_5pct,0.0250000000,-5.1237741663,6,24,318,-7.4369877897,2.1287654805,1.9854749440,11.0389012386,3.4388682015,2.1287654805,1.9854749440,11.0389012386,3.4388682015,59.1194968553
SOLUSDT,lower,2_5pct,0.0250000000,-5.1237741663,12,48,318,-7.4369877897,1.9845990413,2.3396050768,14.3303455103,2.4696173961,1.9845990413,2.3396050768,14.3303455103,2.4696173961,60.0628930818
SOLUSDT,lower,2_5pct,0.0250000000,-5.1237741663,18,72,318,-7.4369877897,3.0113494991,3.3686847504,15.8267995523,3.3929825095,3.0113494991,3.3686847504,15.8267995523,3.3929825095,64.4654088050
SOLUSDT,upper,1pct,0.0100000000,7.4638733570,1,4,128,10.4277574045,-0.3553343729,-0.8391867049,4.3417245799,-0.9259337945,0.3553343729,0.8391867049,4.3417245799,0.9259337945,57.0312500000
SOLUSDT,upper,1pct,0.0100000000,7.4638733570,2,8,128,10.4277574045,0.0165915153,-0.3512246785,6.0986527744,0.0307791859,-0.0165915153,0.3512246785,6.0986527744,-0.0307791859,53.9062500000
SOLUSDT,upper,1pct,0.0100000000,7.4638733570,3,12,128,10.4277574045,0.6839853278,0.8136329855,6.6923574297,1.1563056364,-0.6839853278,-0.8136329855,6.6923574297,-1.1563056364,48.4375000000
SOLUSDT,upper,1pct,0.0100000000,7.4638733570,6,24,128,10.4277574045,0.9013178266,1.3931302478,9.4057442768,1.0841510097,-0.9013178266,-1.3931302478,9.4057442768,-1.0841510097,44.5312500000
SOLUSDT,upper,1pct,0.0100000000,7.4638733570,12,48,128,10.4277574045,1.9082566929,1.3006675479,11.5806296660,1.8642734107,-1.9082566929,-1.3006675479,11.5806296660,-1.8642734107,44.5312500000
SOLUSDT,upper,1pct,0.0100000000,7.4638733570,18,72,128,10.4277574045,1.9111953655,1.3820134164,14.0237367950,1.5418648800,-1.9111953655,-1.3820134164,14.0237367950,-1.5418648800,46.0937500000
SOLUSDT,lower,1pct,0.0100000000,-7.0432299734,1,4,128,-9.6957661282,1.4632184707,1.5282546107,6.1422076479,2.6951917285,1.4632184707,1.5282546107,6.1422076479,2.6951917285,65.6250000000
SOLUSDT,lower,1pct,0.0100000000,-7.0432299734,2,8,128,-9.6957661282,1.4241323105,0.8244121878,7.6243027907,2.1132709792,1.4241323105,0.8244121878,7.6243027907,2.1132709792,56.2500000000
SOLUSDT,lower,1pct,0.0100000000,-7.0432299734,3,12,128,-9.6957661282,2.2385753190,1.4430906263,10.4806409529,2.4165114258,2.2385753190,1.4430906263,10.4806409529,2.4165114258,61.7187500000
SOLUSDT,lower,1pct,0.0100000000,-7.0432299734,6,24,128,-9.6957661282,3.4499251504,3.2117076730,13.8357828863,2.8210508806,3.4499251504,3.2117076730,13.8357828863,2.8210508806,62.5000000000
SOLUSDT,lower,1pct,0.0100000000,-7.0432299734,12,48,128,-9.6957661282,2.3992076329,4.2044118545,16.7023665905,1.6251550725,2.3992076329,4.2044118545,16.7023665905,1.6251550725,66.4062500000
SOLUSDT,lower,1pct,0.0100000000,-7.0432299734,18,72,128,-9.6957661282,3.5545816208,3.8965222212,18.1507843484,2.2156342956,3.5545816208,3.8965222212,18.1507843484,2.2156342956,64.8437500000
